Accuracy,F1,False Negative Scores,True Negative Scores,True Negative Rates,True Positive Scores,Positive Predictive Values,False Positive Scores,False Positive Rates,Negative Predictive Values,True Positive Rates,Matthews Correlation Coefficient,Threshold,Fraction Predicted As Positive,Fraction Predicted As Negative,Lift For Positive Class,Lift For Negative Class
0.8736111111111111,0.4550898203592814,82.0,591.0,0.985,38.0,0.8085106382978723,9.0,0.015,0.8781575037147102,0.31666666666666665,0.4551317276428101,0.6035196513666783,0.06527777777777778,0.9347222222222222,4.8510638297872335,1.0537890044576523
0.8791666666666667,0.49122807017543857,78.0,591.0,0.985,42.0,0.8235294117647058,9.0,0.015,0.8834080717488789,0.35,0.486645720187747,0.5862088329381892,0.07083333333333333,0.9291666666666667,4.9411764705882355,1.0600896860986546
0.8777777777777778,0.5056179775280899,75.0,587.0,0.9783333333333334,45.0,0.7758620689655172,13.0,0.021666666666666667,0.8867069486404834,0.375,0.4838467934730169,0.5655038716522439,0.08055555555555556,0.9194444444444444,4.655172413793103,1.0640483383685801
0.8819444444444444,0.5405405405405406,70.0,585.0,0.975,50.0,0.7692307692307693,15.0,0.025,0.8931297709923665,0.4166666666666667,0.5093373586540929,0.5359025116608777,0.09027777777777778,0.9097222222222222,4.615384615384616,1.0717557251908396
0.8805555555555555,0.5520833333333334,67.0,581.0,0.9683333333333334,53.0,0.7361111111111112,19.0,0.03166666666666667,0.8966049382716049,0.44166666666666665,0.5093265948749521,0.5099639556033007,0.1,0.9,4.416666666666666,1.075925925925926
0.8791666666666667,0.5492227979274611,67.0,580.0,0.9666666666666667,53.0,0.726027397260274,20.0,0.03333333333333333,0.8964451313755796,0.44166666666666665,0.5041589853670237,0.5086550580742859,0.10138888888888889,0.8986111111111111,4.3561643835616435,1.0757341576506956
0.8833333333333333,0.58,62.0,578.0,0.9633333333333334,58.0,0.725,22.0,0.03666666666666667,0.903125,0.48333333333333334,0.5296815080782036,0.4882427646134628,0.1111111111111111,0.8888888888888888,4.3500000000000005,1.0837500000000002
0.8875,0.6086956521739131,57.0,576.0,0.96,63.0,0.7241379310344828,24.0,0.04,0.909952606635071,0.525,0.5545574007888936,0.4629451026307109,0.12083333333333333,0.8791666666666667,4.344827586206897,1.0919431279620853
0.8902777777777777,0.6325581395348837,52.0,573.0,0.955,68.0,0.7157894736842105,27.0,0.045,0.9168,0.5666666666666667,0.5744569976118866,0.4242796078704576,0.13194444444444445,0.8680555555555556,4.294736842105263,1.10016
0.8888888888888888,0.6330275229357798,51.0,571.0,0.9516666666666667,69.0,0.7040816326530612,29.0,0.04833333333333333,0.9180064308681672,0.575,0.5723923888276704,0.41142548901564435,0.1361111111111111,0.8638888888888889,4.224489795918368,1.1016077170418006
0.8888888888888888,0.6396396396396397,49.0,569.0,0.9483333333333334,71.0,0.696078431372549,31.0,0.051666666666666666,0.9207119741100324,0.5916666666666667,0.5771194148186265,0.39631745427853976,0.14166666666666666,0.8583333333333334,4.176470588235294,1.1048543689320387
0.8875,0.6462882096069869,46.0,565.0,0.9416666666666667,74.0,0.6788990825688074,35.0,0.058333333333333334,0.9247135842880524,0.6166666666666667,0.5805317151787776,0.3763064458754791,0.15138888888888888,0.8486111111111111,4.0733944954128445,1.1096563011456628
0.8861111111111111,0.652542372881356,43.0,561.0,0.935,77.0,0.6637931034482759,39.0,0.065,0.9288079470198676,0.6416666666666667,0.5845795689524476,0.3657124226019609,0.16111111111111112,0.8388888888888889,3.9827586206896552,1.114569536423841
0.8875,0.6610878661087866,41.0,560.0,0.9333333333333333,79.0,0.6638655462184874,40.0,0.06666666666666667,0.9317803660565723,0.6583333333333333,0.5936529553783173,0.3564874769395844,0.16527777777777777,0.8347222222222223,3.9831932773109244,1.1181364392678868
0.8805555555555555,0.6475409836065574,41.0,555.0,0.925,79.0,0.6370967741935484,45.0,0.075,0.9312080536912751,0.6583333333333333,0.5757700492379578,0.34571093313380175,0.17222222222222222,0.8277777777777777,3.8225806451612905,1.1174496644295304
0.8791666666666667,0.6533864541832669,38.0,551.0,0.9183333333333333,82.0,0.6259541984732825,49.0,0.08166666666666667,0.9354838709677419,0.6833333333333333,0.581204414797711,0.3229289117749948,0.18194444444444444,0.8180555555555555,3.7557251908396947,1.1225806451612903
0.8722222222222222,0.6434108527131783,37.0,545.0,0.9083333333333333,83.0,0.6014492753623188,55.0,0.09166666666666666,0.936426116838488,0.6916666666666667,0.568089108609278,0.31476003485214865,0.19166666666666668,0.8083333333333333,3.6086956521739126,1.1237113402061856
0.8680555555555556,0.6387832699619772,36.0,541.0,0.9016666666666666,84.0,0.5874125874125874,59.0,0.09833333333333333,0.9376083188908145,0.7,0.5620387696821992,0.3080362471495839,0.1986111111111111,0.8013888888888889,3.5244755244755246,1.1251299826689773
0.8680555555555556,0.6415094339622641,35.0,540.0,0.9,85.0,0.5862068965517241,60.0,0.1,0.9391304347826087,0.7083333333333334,0.5653142576435274,0.304157222502946,0.2013888888888889,0.7986111111111112,3.5172413793103448,1.1269565217391304
0.8652777777777778,0.6446886446886447,32.0,535.0,0.8916666666666667,88.0,0.5751633986928104,65.0,0.10833333333333334,0.9435626102292769,0.7333333333333333,0.5693889317297137,0.2791632061737851,0.2125,0.7875,3.4509803921568625,1.1322751322751323
0.8611111111111112,0.6428571428571429,30.0,530.0,0.8833333333333333,90.0,0.5625,70.0,0.11666666666666667,0.9464285714285714,0.75,0.5677335894338369,0.26883043030801496,0.2222222222222222,0.7777777777777778,3.375,1.1357142857142857
0.8555555555555555,0.6363636363636364,29.0,525.0,0.875,91.0,0.5481927710843374,75.0,0.125,0.9476534296028881,0.7583333333333333,0.560389085459299,0.2532756959493471,0.23055555555555557,0.7694444444444444,3.2891566265060237,1.1371841155234659
0.8541666666666666,0.6341463414634146,29.0,524.0,0.8733333333333333,91.0,0.5449101796407185,76.0,0.12666666666666668,0.9475587703435805,0.7583333333333333,0.5577420730708914,0.25188093358716357,0.23194444444444445,0.7680555555555555,3.269461077844311,1.1370705244122965
0.8458333333333333,0.6237288135593221,28.0,517.0,0.8616666666666667,92.0,0.5257142857142857,83.0,0.13833333333333334,0.9486238532110092,0.7666666666666667,0.5459326551490213,0.22822354117766655,0.24305555555555555,0.7569444444444444,3.1542857142857144,1.138348623853211
0.8416666666666667,0.6225165562913907,26.0,512.0,0.8533333333333334,94.0,0.5164835164835165,88.0,0.14666666666666667,0.9516728624535316,0.7833333333333333,0.5459483137226336,0.2156250638046773,0.25277777777777777,0.7472222222222222,3.098901098901099,1.142007434944238
0.8347222222222223,0.6123778501628665,26.0,507.0,0.845,94.0,0.5026737967914439,93.0,0.155,0.9512195121951219,0.7833333333333333,0.5340377288293642,0.20497844824263498,0.25972222222222224,0.7402777777777778,3.0160427807486627,1.1414634146341462
0.8319444444444445,0.6084142394822006,26.0,505.0,0.8416666666666667,94.0,0.4973544973544973,95.0,0.15833333333333333,0.9510357815442562,0.7833333333333333,0.5293806988469838,0.20338991149652083,0.2625,0.7375,2.984126984126984,1.1412429378531073
0.8305555555555556,0.6139240506329114,23.0,501.0,0.835,97.0,0.49489795918367346,99.0,0.165,0.9561068702290076,0.8083333333333333,0.5386524299170027,0.19066896790088833,0.2722222222222222,0.7277777777777779,2.969387755102041,1.147328244274809
0.8222222222222222,0.6049382716049383,22.0,494.0,0.8233333333333334,98.0,0.4803921568627451,106.0,0.17666666666666667,0.9573643410852714,0.8166666666666667,0.5293053548630795,0.17862325644380206,0.2833333333333333,0.7166666666666667,2.8823529411764706,1.1488372093023256
0.8152777777777778,0.5981873111782477,21.0,488.0,0.8133333333333334,99.0,0.46919431279620855,112.0,0.18666666666666668,0.9587426326129665,0.825,0.5226532472103502,0.1719451062929643,0.29305555555555557,0.7069444444444444,2.8151658767772507,1.15049115913556
0.8083333333333333,0.591715976331361,20.0,482.0,0.8033333333333333,100.0,0.45871559633027525,118.0,0.19666666666666666,0.9601593625498008,0.8333333333333334,0.5164142947482332,0.16203114672652197,0.30277777777777776,0.6972222222222222,2.7522935779816518,1.152191235059761
0.8013888888888889,0.5855072463768116,19.0,476.0,0.7933333333333333,101.0,0.4488888888888889,124.0,0.20666666666666667,0.9616161616161616,0.8416666666666667,0.5105592101516797,0.1532219391891564,0.3125,0.6875,2.6933333333333334,1.153939393939394
0.7930555555555555,0.5779036827195467,18.0,469.0,0.7816666666666666,102.0,0.43776824034334766,131.0,0.21833333333333332,0.9630390143737166,0.85,0.5031665554892789,0.14700765701187013,0.3236111111111111,0.6763888888888889,2.6266094420600856,1.1556468172484597
0.7861111111111111,0.5722222222222222,17.0,463.0,0.7716666666666666,103.0,0.42916666666666664,137.0,0.22833333333333333,0.9645833333333333,0.8583333333333333,0.4980587314765197,0.139891360448933,0.3333333333333333,0.6666666666666667,2.575,1.1574999999999998
0.7791666666666667,0.5667574931880109,16.0,457.0,0.7616666666666667,104.0,0.42105263157894735,143.0,0.23833333333333334,0.9661733615221987,0.8666666666666667,0.4932615928678752,0.13535996878534012,0.34305555555555556,0.6569444444444444,2.526315789473684,1.1594080338266386
0.7708333333333334,0.56,15.0,450.0,0.75,105.0,0.4117647058823529,150.0,0.25,0.967741935483871,0.875,0.48702325494157866,0.1299797324861718,0.3541666666666667,0.6458333333333333,2.4705882352941173,1.1612903225806452
0.7611111111111111,0.5497382198952879,15.0,443.0,0.7383333333333333,105.0,0.40076335877862596,157.0,0.26166666666666666,0.9672489082969432,0.875,0.47509387543202,0.12714942927126502,0.3638888888888889,0.6361111111111111,2.404580152671756,1.1606986899563319
0.7513888888888889,0.5398457583547558,15.0,436.0,0.7266666666666667,105.0,0.3903345724907063,164.0,0.2733333333333333,0.9667405764966741,0.875,0.46350859176582754,0.12485240966060202,0.3736111111111111,0.6263888888888889,2.3420074349442377,1.160088691796009
0.7444444444444445,0.5353535353535354,14.0,430.0,0.7166666666666667,106.0,0.38405797101449274,170.0,0.2833333333333333,0.9684684684684685,0.8833333333333333,0.4599085383962519,0.1215435602530532,0.38333333333333336,0.6166666666666667,2.304347826086956,1.162162162162162
0.7361111111111112,0.5297029702970297,13.0,423.0,0.705,107.0,0.3767605633802817,177.0,0.295,0.9701834862385321,0.8916666666666667,0.4549834608047772,0.11668267020609843,0.39444444444444443,0.6055555555555556,2.2605633802816905,1.1642201834862382
0.7263888888888889,0.5206812652068127,13.0,416.0,0.6933333333333334,107.0,0.36769759450171824,184.0,0.30666666666666664,0.9696969696969697,0.8916666666666667,0.4442699855450877,0.11165082280222637,0.4041666666666667,0.5958333333333333,2.2061855670103094,1.1636363636363636
0.7166666666666667,0.5119617224880383,13.0,409.0,0.6816666666666666,107.0,0.35906040268456374,191.0,0.31833333333333336,0.9691943127962085,0.8916666666666667,0.4338195134027239,0.10323820110779908,0.41388888888888886,0.5861111111111111,2.1543624161073827,1.1630331753554501
0.7138888888888889,0.5095238095238095,13.0,407.0,0.6783333333333333,107.0,0.3566666666666667,193.0,0.32166666666666666,0.969047619047619,0.8916666666666667,0.43087949923051905,0.10244700190858767,0.4166666666666667,0.5833333333333333,2.14,1.162857142857143
0.7097222222222223,0.508235294117647,12.0,403.0,0.6716666666666666,108.0,0.3540983606557377,197.0,0.3283333333333333,0.9710843373493976,0.9,0.4311567105198167,0.09891803831513486,0.4236111111111111,0.5763888888888888,2.1245901639344265,1.1653012048192772
0.7013888888888888,0.5034642032332564,11.0,396.0,0.66,109.0,0.34824281150159747,204.0,0.34,0.972972972972973,0.9083333333333333,0.42726764154299607,0.09302614917602747,0.43472222222222223,0.5652777777777778,2.0894568690095845,1.1675675675675676
0.6916666666666667,0.4954545454545455,11.0,389.0,0.6483333333333333,109.0,0.340625,211.0,0.3516666666666667,0.9725,0.9083333333333333,0.4175,0.0904835509134505,0.4444444444444444,0.5555555555555556,2.04375,1.1669999999999998
0.6847222222222222,0.49217002237136465,10.0,383.0,0.6383333333333333,110.0,0.3363914373088685,217.0,0.3616666666666667,0.9745547073791349,0.9166666666666666,0.41542160548272145,0.08708764671498347,0.45416666666666666,0.5458333333333334,2.018348623853211,1.1694656488549617
