Matrix of word-grams occurrences tokenizer: NLTK based tokenizer
Matrix of word-grams occurrences binary: True
Matrix of word-grams occurrences sublinear_tf: False
Matrix of word-grams occurrences use_idf: False
Matrix of word-grams occurrences lowercase: True
Matrix of word-grams occurrences norm: L2
Intercept: -3.2078392594952154
Loss distribution: Binomial Deviance
Link function: logit

Feature Name,Type,Derived Feature,Transform1,Value1,Transform2,Value2,Coefficient
Location,TXT,Location-crest,Matrix of word-grams occurrences,crest,,,0.0
Location,TXT,Location-crescent,Matrix of word-grams occurrences,crescent,,,0.0
Location,TXT,Location-creek,Matrix of word-grams occurrences,creek,,,0.0
Location,TXT,Location-crossing,Matrix of word-grams occurrences,crossing,,,0.0
Location,TXT,Location-crossroad,Matrix of word-grams occurrences,crossroad,,,0.0
Location,TXT,Location-craig,Matrix of word-grams occurrences,craig,,,0.0
Location,TXT,Location-christophermouth,Matrix of word-grams occurrences,christophermouth,,,0.0
Location,TXT,Location-christopherville,Matrix of word-grams occurrences,christopherville,,,0.0
Location,TXT,Location-christopher,Matrix of word-grams occurrences,christopher,,,0.0
Location,TXT,Location-christian,Matrix of word-grams occurrences,christian,,,0.0
Location,TXT,Location-christina,Matrix of word-grams occurrences,christina,,,0.0
Location,TXT,Location-charles,Matrix of word-grams occurrences,charles,,,0.0
Location,TXT,Location-centers apt,Matrix of word-grams occurrences,centers apt,,,0.0
Location,TXT,Location-centers suite,Matrix of word-grams occurrences,centers suite,,,0.0
Location,TXT,Location-centers,Matrix of word-grams occurrences,centers,,,0.0
Location,TXT,Location-center,Matrix of word-grams occurrences,center,,,0.0
Location,TXT,Location-circles,Matrix of word-grams occurrences,circles,,,0.0
Location,TXT,Location-circle,Matrix of word-grams occurrences,circle,,,0.0
Location,TXT,Location-cliffs,Matrix of word-grams occurrences,cliffs,,,0.0
Location,TXT,Location-cliff,Matrix of word-grams occurrences,cliff,,,0.0
Location,TXT,Location-ct,Matrix of word-grams occurrences,ct,,,0.0
Location,TXT,Location-curve,Matrix of word-grams occurrences,curve,,,0.0
Location,TXT,Location-cynthia,Matrix of word-grams occurrences,cynthia,,,0.0
Location,TXT,Location-apt 091,Matrix of word-grams occurrences,apt 091,,,0.0
Location,TXT,Location-apt 094,Matrix of word-grams occurrences,apt 094,,,0.0
Location,TXT,Location-apt 002,Matrix of word-grams occurrences,apt 002,,,0.0
Location,TXT,Location-apt 089,Matrix of word-grams occurrences,apt 089,,,0.0
Location,TXT,Location-apt 202,Matrix of word-grams occurrences,apt 202,,,0.0
Location,TXT,Location-apt 205,Matrix of word-grams occurrences,apt 205,,,0.0
Location,TXT,Location-apt 275,Matrix of word-grams occurrences,apt 275,,,0.0
Location,TXT,Location-apt 356,Matrix of word-grams occurrences,apt 356,,,0.0
Location,TXT,Location-apt 385,Matrix of word-grams occurrences,apt 385,,,0.0
Location,TXT,Location-apt 606,Matrix of word-grams occurrences,apt 606,,,0.0
Location,TXT,Location-apt 693,Matrix of word-grams occurrences,apt 693,,,0.0
Location,TXT,Location-apt 112,Matrix of word-grams occurrences,apt 112,,,0.0
Location,TXT,Location-apt 491,Matrix of word-grams occurrences,apt 491,,,0.0
Location,TXT,Location-apt 841,Matrix of word-grams occurrences,apt 841,,,0.0
Location,TXT,Location-apt 914,Matrix of word-grams occurrences,apt 914,,,0.0
Location,TXT,Location-apt,Matrix of word-grams occurrences,apt,,,0.0
Location,TXT,Location-apo aa,Matrix of word-grams occurrences,apo aa,,,0.0
Location,TXT,Location-apo ae,Matrix of word-grams occurrences,apo ae,,,0.0
Location,TXT,Location-apo ap,Matrix of word-grams occurrences,apo ap,,,0.0
Location,TXT,Location-apo,Matrix of word-grams occurrences,apo,,,0.0
Location,TXT,Location-ap,Matrix of word-grams occurrences,ap,,,0.0
Location,TXT,Location-alley apt,Matrix of word-grams occurrences,alley apt,,,0.0
Location,TXT,Location-alley,Matrix of word-grams occurrences,alley,,,0.0
Location,TXT,Location-allen,Matrix of word-grams occurrences,allen,,,0.0
Location,TXT,Location-aliciaport,Matrix of word-grams occurrences,aliciaport,,,0.0
Location,TXT,Location-alison,Matrix of word-grams occurrences,alison,,,0.0
Location,TXT,Location-alan,Matrix of word-grams occurrences,alan,,,0.0
Location,TXT,Location-alexander,Matrix of word-grams occurrences,alexander,,,0.0
Location,TXT,Location-al,Matrix of word-grams occurrences,al,,,0.0
Location,TXT,Location-andrews,Matrix of word-grams occurrences,andrews,,,0.0
Location,TXT,Location-andrew,Matrix of word-grams occurrences,andrew,,,0.0
Location,TXT,Location-andrea,Matrix of word-grams occurrences,andrea,,,0.0
Location,TXT,Location-anthonyborough,Matrix of word-grams occurrences,anthonyborough,,,0.0
Location,TXT,Location-anthony,Matrix of word-grams occurrences,anthony,,,0.0
Location,TXT,Location-antonio,Matrix of word-grams occurrences,antonio,,,0.0
Location,TXT,Location-angela,Matrix of word-grams occurrences,angela,,,0.0
Location,TXT,Location-amanda,Matrix of word-grams occurrences,amanda,,,0.0
Location,TXT,Location-amber,Matrix of word-grams occurrences,amber,,,0.0
Location,TXT,Location-amy,Matrix of word-grams occurrences,amy,,,0.0
Location,TXT,Location-armstrong,Matrix of word-grams occurrences,armstrong,,,0.0
Location,TXT,Location-arnold,Matrix of word-grams occurrences,arnold,,,0.0
Location,TXT,Location-ar,Matrix of word-grams occurrences,ar,,,0.0
Location,TXT,Location-ae 62096,Matrix of word-grams occurrences,ae 62096,,,0.0
Location,TXT,Location-ae,Matrix of word-grams occurrences,ae,,,0.0
Location,TXT,Location-ashley,Matrix of word-grams occurrences,ashley,,,0.0
Location,TXT,Location-as,Matrix of word-grams occurrences,as,,,0.0
Location,TXT,Location-avenue south,Matrix of word-grams occurrences,avenue south,,,0.0
Location,TXT,Location-avenue,Matrix of word-grams occurrences,avenue,,,0.0
Location,TXT,Location-aa,Matrix of word-grams occurrences,aa,,,0.0
Location,TXT,Location-ak,Matrix of word-grams occurrences,ak,,,0.0
Location,TXT,Location-austin,Matrix of word-grams occurrences,austin,,,0.0
Location,TXT,Location-az,Matrix of word-grams occurrences,az,,,0.0
Location,TXT,Location-manor port,Matrix of word-grams occurrences,manor port,,,0.0
Location,TXT,Location-manor suite,Matrix of word-grams occurrences,manor suite,,,0.0
Location,TXT,Location-manors apt,Matrix of word-grams occurrences,manors apt,,,0.0
Location,TXT,Location-manors,Matrix of word-grams occurrences,manors,,,0.0
Location,TXT,Location-manor,Matrix of word-grams occurrences,manor,,,0.0
Location,TXT,Location-mark,Matrix of word-grams occurrences,mark,,,0.0
Location,TXT,Location-martin,Matrix of word-grams occurrences,martin,,,0.0
Location,TXT,Location-mary,Matrix of word-grams occurrences,mary,,,0.0
Location,TXT,Location-matthew stream,Matrix of word-grams occurrences,matthew stream,,,0.0
Location,TXT,Location-matthew,Matrix of word-grams occurrences,matthew,,,0.0
Location,TXT,Location-mall,Matrix of word-grams occurrences,mall,,,0.0
Location,TXT,Location-mason,Matrix of word-grams occurrences,mason,,,0.0
Location,TXT,Location-maxwell,Matrix of word-grams occurrences,maxwell,,,0.0
Location,TXT,Location-ma,Matrix of word-grams occurrences,ma,,,0.0
Location,TXT,Location-michaelland,Matrix of word-grams occurrences,michaelland,,,0.0
Location,TXT,Location-michaelside,Matrix of word-grams occurrences,michaelside,,,0.0
Location,TXT,Location-michaelview,Matrix of word-grams occurrences,michaelview,,,0.0
Location,TXT,Location-michael,Matrix of word-grams occurrences,michael,,,0.0
Location,TXT,Location-michelle,Matrix of word-grams occurrences,michelle,,,0.0
Location,TXT,Location-mill apt,Matrix of word-grams occurrences,mill apt,,,0.0
Location,TXT,Location-miller,Matrix of word-grams occurrences,miller,,,0.0
Location,TXT,Location-mills,Matrix of word-grams occurrences,mills,,,0.0
Location,TXT,Location-mill,Matrix of word-grams occurrences,mill,,,0.0
Location,TXT,Location-mission apt,Matrix of word-grams occurrences,mission apt,,,0.0
Location,TXT,Location-mission,Matrix of word-grams occurrences,mission,,,0.0
Location,TXT,Location-mitchell,Matrix of word-grams occurrences,mitchell,,,0.0
Location,TXT,Location-mi,Matrix of word-grams occurrences,mi,,,0.0
Location,TXT,Location-mountains apt,Matrix of word-grams occurrences,mountains apt,,,0.0
Location,TXT,Location-mountains,Matrix of word-grams occurrences,mountains,,,0.0
Location,TXT,Location-mountain new,Matrix of word-grams occurrences,mountain new,,,0.0
Location,TXT,Location-mountain,Matrix of word-grams occurrences,mountain,,,0.0
Location,TXT,Location-mount,Matrix of word-grams occurrences,mount,,,0.0
Location,TXT,Location-monicaport,Matrix of word-grams occurrences,monicaport,,,0.0
Location,TXT,Location-motorway,Matrix of word-grams occurrences,motorway,,,0.0
Location,TXT,Location-mo,Matrix of word-grams occurrences,mo,,,0.0
Location,TXT,Location-meadows suite,Matrix of word-grams occurrences,meadows suite,,,0.0
Location,TXT,Location-meadows,Matrix of word-grams occurrences,meadows,,,0.0
Location,TXT,Location-megan,Matrix of word-grams occurrences,megan,,,0.0
Location,TXT,Location-melissa,Matrix of word-grams occurrences,melissa,,,0.0
Location,TXT,Location-mews,Matrix of word-grams occurrences,mews,,,0.0
Location,TXT,Location-me,Matrix of word-grams occurrences,me,,,0.0
Location,TXT,Location-mcdonald,Matrix of word-grams occurrences,mcdonald,,,0.0
Location,TXT,Location-mcdowell,Matrix of word-grams occurrences,mcdowell,,,0.0
Location,TXT,Location-md,Matrix of word-grams occurrences,md,,,0.0
Location,TXT,Location-mh,Matrix of word-grams occurrences,mh,,,0.0
Location,TXT,Location-mn,Matrix of word-grams occurrences,mn,,,0.0
Location,TXT,Location-mp,Matrix of word-grams occurrences,mp,,,0.0
Location,TXT,Location-ms,Matrix of word-grams occurrences,ms,,,0.0
Location,TXT,Location-mt,Matrix of word-grams occurrences,mt,,,0.0
Location,TXT,Location-parks apt,Matrix of word-grams occurrences,parks apt,,,0.0
Location,TXT,Location-parks,Matrix of word-grams occurrences,parks,,,0.0
Location,TXT,Location-parker,Matrix of word-grams occurrences,parker,,,0.0
Location,TXT,Location-parkways,Matrix of word-grams occurrences,parkways,,,0.0
Location,TXT,Location-park,Matrix of word-grams occurrences,park,,,0.0
Location,TXT,Location-passage apt,Matrix of word-grams occurrences,passage apt,,,0.0
Location,TXT,Location-passage,Matrix of word-grams occurrences,passage,,,0.0
Location,TXT,Location-pass,Matrix of word-grams occurrences,pass,,,0.0
Location,TXT,Location-paula,Matrix of word-grams occurrences,paula,,,0.0
Location,TXT,Location-paul,Matrix of word-grams occurrences,paul,,,0.0
Location,TXT,Location-patricia,Matrix of word-grams occurrences,patricia,,,0.0
Location,TXT,Location-pa,Matrix of word-grams occurrences,pa,,,0.0
Location,TXT,Location-port apt,Matrix of word-grams occurrences,port apt,,,0.0
Location,TXT,Location-port elizabeth,Matrix of word-grams occurrences,port elizabeth,,,0.0
Location,TXT,Location-port michaelview,Matrix of word-grams occurrences,port michaelview,,,0.0
Location,TXT,Location-ports apt,Matrix of word-grams occurrences,ports apt,,,0.0
Location,TXT,Location-ports suite,Matrix of word-grams occurrences,ports suite,,,0.0
Location,TXT,Location-ports,Matrix of word-grams occurrences,ports,,,0.0
Location,TXT,Location-port,Matrix of word-grams occurrences,port,,,0.0
Location,TXT,Location-point suite,Matrix of word-grams occurrences,point suite,,,0.0
Location,TXT,Location-points,Matrix of word-grams occurrences,points,,,0.0
